Index,Price,Shipping,Total_Price,Title,ItemID,Condition
1,87.55,0.0,87.55,2012-2016 Volvo S60 Engine Oil Filter Housing 31338685 31338684,v1|235229824470|0,Used
2,275.0,280.0,555.0,Engine Assembly 3.0L Fits 2011 VOLVO S60 1139982,v1|135235542698|0,Used
3,649.99,0.0,649.99,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 1980556,v1|306335578418|0,Used
4,698.99,0.0,698.99,Engine 3.2L VIN 94 4th And 5th Digit Fits 11-14 VOLVO 80 SERIES 20449240,v1|335947141906|0,Used
5,699.99,0.0,699.99,Used Engine Assembly fits: 2013  Volvo 60 series 3.0L VIN 90 4th a,v1|396636295390|0,Used
6,474.99,250.0,724.99,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 1370020,v1|286697838036|0,Used
7,784.8,0.0,784.8,Engine 3.2L VIN 94 4th And 5th Digit Fits 11-14 VOLVO 80 SERIES 1983114,v1|267202175712|0,Used
8,858.59,0.0,858.59,Engine XC70 3.2L VIN 95 4th And 5th Digit Fits 11-15 VOLVO 70 SERIES 27193402,v1|236124316443|0,Used
9,875.55,0.0,875.55,Engine XC70 3.2L VIN 95 4th And 5th Digit Fits 11-15 VOLVO 70 SERIES 26899461,v1|236124305131|0,Used
10,891.45,0.0,891.45,Engine XC70 3.2L VIN 95 4th And 5th Digit Fits 11-15 VOLVO 70 SERIES 28063362,v1|335959348058|0,Used
11,665.0,275.0,940.0,2011-2015 VOLVO XC70 3.2L ENGINE MOTOR ASSEMBLY,v1|126738982386|0,Used
12,946.0,0.0,946.0,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 2670658,v1|267336851243|0,Used
13,949.0,0.0,949.0,14 VOLVO XC90 Engine/motor Assembly3.2L,v1|256875186063|0,Used
14,981.9,0.0,981.9,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 2602276,v1|267178106705|0,Used
15,765.0,275.0,1040.0,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 5399,v1|127151409836|0,Used
16,1075.0,0.0,1075.0,Engine Assembly Volvo 80 Series 08 09 10 11 12 13 14,v1|235967390350|0,Used
17,1076.95,0.0,1076.95,Engine 3.2L VIN 94 4th And 5th Digit Fits 11-14 VOLVO 80 SERIES 26072805,v1|356995788977|0,Used
18,1080.0,0.0,1080.0,Engine 3.2L VIN 94 4th And 5th Digit Fits 11-14 VOLVO 80 SERIES 1306665,v1|157044188668|0,Used
19,1095.0,0.0,1095.0,13 VOLVO 60 SERIES Engine Xc60 3.2l B6324s4 Engine,v1|256887889982|0,Used
20,1149.99,0.0,1149.99,Engine XC70 3.2L VIN 95 4th And 5th Digit Fits 11-15 VOLVO 70 SERIES 1561344,v1|116582170040|0,Used
21,1195.0,0.0,1195.0,Engine Assembly/motor VOLVO 60 SERIES 11 12 13,v1|297196885998|0,Used
22,1199.91,0.0,1199.91,Engine 3.2L VIN 94 4th And 5th Digit Fits 11-14 VOLVO 80 SERIES 26655732,v1|356813549798|0,Used
23,1200.0,0.0,1200.0,VOLVO 70 SERIES Engine XC70 3.0L VIN 90 4th And 5th Fits 08-14 *134 000 KM*,v1|276266536742|0,Used
24,955.04,295.95,1250.99,✅ 07-16 OEM Volvo XC60 Engine 3.2L FWD Motor Long Block Assembly 137k Miles,v1|277287329743|0,Used
25,895.0,400.0,1295.0,"11-13  VOLVO S60 ENGINE MOTOR 3.0 NO CORE CHARGE 147,013 MILES",v1|226257341565|0,Used
26,799.0,500.0,1299.0,D7D D6D D6E D7E diesel engine assembly suitable for Volvo excavator EC210 EC290,v1|376231033346|0,Remanufactured
27,1313.0,0.0,1313.0,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 241214,v1|388114810343|0,Used
28,1319.99,0.0,1319.99,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 6634939,v1|405958184674|0,Used
29,1339.36,0.0,1339.36,08-14 VOLVO XC70 SERIES VIN 90 Engine Motor TURBO 3.0L TESTED,v1|297190645754|0,Used
30,1163.74,250.0,1413.74,Engine 3.2L VIN 94 4th And 5th Digit Fits 11-14 VOLVO 80 SERIES 2506782,v1|388690166234|0,Used
31,1680.0,0.0,1680.0,Engine XC70 3.2L VIN 95 4th And 5th Digit Fits 11-15 VOLVO 70 SERIES 906828,v1|157044229944|0,Used
32,1700.0,0.0,1700.0,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 293121,v1|135787975122|0,Used
33,1501.0,300.0,1801.0,Engine S60 T5 5 Cylinder 2.5L VIN 62 Turbo Fits 12 VOLVO 60 SERIES 320283,v1|286645749866|0,Used
34,1889.95,0.0,1889.95,2012 VOLVO 60 SERIES S60 T5 2.5L VIN 62 (4TH & 5TH DIGIT) ENGINE B5254T5 #005385,v1|126389334347|0,Used
35,2000.0,0.0,2000.0,12 VOLVO 60 SERIES Engine Assembly/motor Engine 160k,v1|205530121113|0,Used
36,1766.04,250.0,2016.04,Engine XC70 3.0L VIN 90 4th And 5th Digit Fits 08-14 VOLVO 70 SERIES 2480323,v1|286618934502|0,Used
37,2157.1,0.0,2157.1,2012 Volvo 60 Series 2.5L Engine Motor OEM 105K Miles - LKQ427205582,v1|365738975443|0,Used
