part_category,search_term,category_id
"Camera, Monitor & Sensor Kits",360 Camera,6030
Center & Third Brake Light Assemblies,3rd Brake Light,262205
A/C Compressor,A/C Compressor,33543
A/C Condensers,A/C Condenser,61864
A/C Evaporators,A/C Evaporator,33547
A/C Hoses & Fittings,"A/C Hose, A/C Line",33544
ABS Control Modules,ABS Pump,262085
ADAS Control Modules,Adaptive Cruise Control,38728
ADAS Control Modules,Adaptive Headlight Module,6030
Air Filter Housings,Air Cleaner,43946
Air Filter,Air Filter,33659
Air Filter Housings,Air Filter Housing,43946
Air & Fuel Delivery,Air Hose,173950
Secondary Air & Smog Pumps,Air Injection Pump,33549
Air & Fuel Delivery,Air Resonator,33549
Air & Fuel Delivery,Air Tube,173950
Alternator,Alternator,177697
Antennas,Antenna,33639
Automatic Transmission,Automatic Transmission,171115
Axles,Axle Shaft,262243
"Camera, Monitor & Sensor Kits",Backup Camera,6030
Headlight Ballasts & Igniters,Ballast,262207
Blowers & Fans,Blower Motor,262077
ECUs & Computer Modules,Bluetooth Module,33596
ECUs & Computer Modules,Body Control Module,33596
Brake Boosters,Brake Booster,174021
Brake Caliper,Brake Caliper,33563
Master Cylinders,Brake Master Cylinder,33566
Bumpers & Reinforcements,Bumper Foam,33640
Bumpers & Reinforcements,Bumper Reinforcement,33640
Bumpers & Reinforcements,Bumper Shock,33640
Cargo Covers,Cargo Cover,174084
"Floor Mats, Carpets & Cargo Liners",Cargo Liner,33697
Center & Overhead Consoles,Center Console,262187
ECUs & Computer Modules,Central Locking Module,33596
Switches,Column Switch,50459
Switches,Combination Switch,50459
ECUs & Computer Modules,Convertible Top Module,33596
"Hoses, Lines & Pipes",Oil Cooler Hose,33599
"Hoses, Lines & Pipes",Transmission Cooler Hose,33599
"Hoses, Lines & Pipes",Power Steering Cooler Hose,33599
Cup Holders,Cup Holder,262202
Cylinder Heads,Cylinder Head,33617
Interior Light Assemblies,Dome Light,33712
Mirror Assemblies,Door Mirror,262161
Fan Blades,Electric Cooling Fan,33600
ABS Control Modules,Electronic Stability Control,33596
Engine,Engine Assembly,33615
Engine Blocks,Engine Block,33615
ECU,Engine Computer,33596
Engine Cooling Components,Engine Cooler,46095
Fan Blades,Engine Cooling Fan,33600
Engine Mounts,Engine Mount,50454
Manifolds & Headers,Exhaust Manifold,33632
Body Moldings & Trims,Exterior Door Molding,33654
