category_id,part_category,search_term
184616,"Camera, Monitor & Sensor Kits",360 Camera
262205,Center & Third Brake Light Assemblies,3rd Brake Light
262076,A/C Receiver Dryers & Accumulators,A/C Accumulator
33543,A/C Compressor,A/C Compressor
61864,A/C Condensers,A/C Condenser
262076,A/C Receiver Dryers & Accumulators,A/C Dryer
33547,A/C Evaporators,A/C Evaporator
33544,A/C Hoses & Fittings,"A/C Hose, A/C Line"
262075,A/C Pressure Switches,"A/C Pressure Switch, A/C Pressure Sensor"
262074,A/C Expansion Valves,A/C TXV
262065,Alert & Warning Devices,ADAS
177710,Airbags,Airbag
177711,Airbag Parts,Airbag Clock Spring
33659,Air Filters,Air Filter
43946,Air Filter Housings,Air Filter Box
33557,Air Intake & Fuel Sensors,"Air Flow Sensor, Mass Air Flow Sensor, MAF, Air Temp Sensor"
33543,A/C Compressors & Clutches,Alternator
177698,Alternator & Generator Parts,Alternator Pulley
177697,Alternators & Generators,Alternator
262114,Relays & Contactors,Auxiliary Battery Relay
262059,Accessory Belts,Axle
262238,Axles,Axle Boot
33580,Control Arms & Ball Joints & Assemblies,Ball Joint
33575,Battery Accessories,"Battery Cable, Battery Terminal"
179846,Batteries,Battery
262177,Truck Beds & Repair Sections,Bed Panel
262060,Belts,Belt
33563,Calipers & Brackets,Brake Caliper
33568,Brake Cables,Brake Cable
33561,Brake Hoses & Lines & Fittings,Brake Line
57357,Brake Pads,Brake Pad
33564,Brake Disc Rotors,Brake Rotor
61739,Brake Shoes,Brake Shoe
33646,Hood Panels,Bumper
33540,Bumpers & Reinforcements,Bumpers
61117,Cabin Air Filters,Cabin Air Filter
262080,Heater Control Valves,Cabin Heater Control Valve
174080,Headliners & Parts,Cabin Light
262241,Clutch Kits,Camshaft
33614,Camshafts,Camshaft Sensor
262123,Temperature Sensors,Camshaft Position Sensor
33629,Catalytic Converters,Catalytic Converter
33698,Glove Boxes & Doors & Latches,Center Console
262188,Center & Overhead Consoles,Centre Console
43961,Wheel Center Caps,Centre Cap
262239,Clutch Parts & Kits,Clutch
262241,Clutch Kits,Clutch Kit
262240,Clutch Hydraulics,Clutch Master Cylinder
33601,Coolant Hoses,Coolant Hose
174030,Expansion & Overflow Tanks,Coolant Tank
33623,Pistons & Rings,Connecting Rod
262124,Connecting Rods & Parts,Connecting Rod
262262,Wheel Hub Caps & Trim Rings,Cover
33616,Crankshafts,Crankshaft
262125,Engine Sensors & Switches,Crankshaft Position Sensor
174593,Parking Cameras,Dash Cam
262191,Dash Panels,Dashboard
33736,Shifters & Cables & Linkages,Differential
262244,Differentials & Assemblies & Parts,Differential
33690,Distributors,Distributor
174113,Wiper Arms,Door Handle
179851,Door Handles,Door Handle
179848,Window Cranks & Grab Handles & Door Pulls,Door Handle
33696,Door Panels,Door Panel
262262,Wheel Hub Caps & Trim Rings,Dust Cover
33615,Engines,ECU
33596,ECUs & Computer Modules,ECU
33607,EGR Parts & Valves,EGR Valve
33619,Engine Bearings,Engine Bearing
50454,Engine Mounts,Engine Mount
46095,Engine Oil Coolers & Lines,Engine Oil Cooler
33602,Radiators,Exhaust
33632,Manifolds & Headers,Exhaust Manifold
262261,Wiring & Harnesses & Connectors,Extension Lead
33633,Exhaust Pipes & Tips,Exhaust Tip
61523,Parking Sensors,Eyeball
172517,Light Bulbs & LEDs,Eyeball LED Bulb
33600,Fan & Shroud Assemblies,Fan
262121,Fan Motors,Fan
33644,Fenders,Fender
33732,Flywheels & Flexplates,Flywheel
33709,Fog Light Assemblies,Fog Light
262070,Fuel Injection Parts,"Fual Rail, Fuel Rail"
33555,Fuel Pumps & Sending Units,Fuel Pump
262072,Fuel Tank Caps,Fuel Cap
33556,Fuel Tanks & Filler Necks,Fuel Filler Neck
33554,Fuel Injectors,Fuel Injector
33675,Instrument Clusters,Cluster
33645,Grilles,Grille
33710,Headlight Assemblies,Headlight
262200,Headrests,Headrest
262082,HVAC Control Unit Parts,Heater Control Panel
33653,Trailer Hitches,Hitch
262155,Hoods,Hood
262156,Hinges & Latches & Additional Hood Components,Hood Latch
262159,Horns,Horn
